DocType: Tickets Ticket,Actual End Date,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +203,Address: {0},
DocType: Tickets Report,Amended From,
DocType: Tickets Ticket,Assigned To User,
DocType: Tickets Ticket Bundle,Assignment,
DocType: Tickets Ticket Bundle,Bundle Name,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +37,Cannot append reports on un-submitted tickets,
apps/tickets/tickets/tickets/doctype/tickets_task/tickets_task.py +59,Cannot append tickets on un-submitted task,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +155,Cannot create delivery order as this ticket has no item list,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +138,Cannot create delivery order for un-commited ticket!,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.js +48,Close,
DocType: Tickets Ticket,Closed,
DocType: Tickets Ticket,Cost,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +74,Cost Updated,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.js +31,Create Delivery Order,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.js +16,Create Report,
apps/tickets/tickets/tickets/doctype/tickets_task/tickets_task.js +21,Create Ticket,
apps/tickets/tickets/tickets/doctype/tickets_task/tickets_task_list.js +13,Created By Me,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +114,Current tickets is not in fixed state,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +99,Current tickets is not in fixing state,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +80,Current tickets is not in new state,
DocType: Tickets Ticket,Delivery Order,
DocType: Tickets Ticket,Delivery Warehouse,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +141,Delivery order already created!,
DocType: Tickets Type,Description,
DocType: Tickets Report,Details,
DocType: Tickets Region,Enabled,
DocType: Tickets Ticket,Fixed,
DocType: Tickets Ticket,Fixing,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.js +11,Get It,
DocType: Tickets Task,High,
DocType: Tickets Task,IOT Device,
DocType: Tickets Task,IOT Device Error,
DocType: Tickets Ticket,IST-,
apps/tickets/tickets/tickets/doctype/tickets_task/tickets_task.py +24,Info: {0},
DocType: Tickets Ticket,Information,
DocType: Tickets Ticket,Information Setttings,
DocType: Tickets TicketItem,Item,
DocType: Tickets Ticket,Item List,
DocType: Tickets TicketItem,Item Name,
DocType: Tickets Ticket,Items,
DocType: Tickets Task,Low,
DocType: Tickets Task,Medium,
DocType: Tickets Ticket,Naming Series,
DocType: Tickets Ticket,New,
apps/tickets/tickets/tickets/doctype/tickets_task/tickets_task.py +27,New Task Created,
apps/tickets/tickets/tickets/doctype/tickets_ticket_bundle/tickets_ticket_bundle.py +69,New Ticket Bundle Created,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +206,New Ticket Created,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket_list.js +17,Not Closed Tickets,
DocType: Tickets Ticket,Planned End Date,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +202,Price: {0},
apps/tickets/tickets/tickets/doctype/tickets_task/tickets_task.py +23,Prioirty: {0},
DocType: Tickets Task,Priority,
DocType: Tickets Region,Project,
DocType: Tickets TicketItem,QTY,
DocType: Tickets Region,Region,
DocType: Tickets Region,Region Name,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.js +52,Reject,
DocType: Tickets Ticket,Rejected,
DocType: Tickets TicketItem,Remark,
DocType: Tickets TicketReport,Report,
DocType: Tickets Ticket,Report List,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.js +21,Report for ,
DocType: Tickets Ticket,Reports,
DocType: Tickets Task,Site,
DocType: Tickets Task,Site Name,
DocType: Tickets Task,Site Type,
apps/tickets/tickets/tickets/doctype/tickets_task/tickets_task.py +22,Site: {0},
DocType: Tickets Ticket,Status,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +144,Stock App is not installed,
DocType: Tickets Report,TItle,
DocType: Tickets Ticket,Task,
DocType: Tickets Task,Task Description,
DocType: Tickets Task,Task Information,
DocType: Tickets Task,Task Name,
DocType: Tickets Task,Task Source,
DocType: Tickets Task,Task Source Type,
DocType: Tickets Task,Task Type,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +201,Task: {0},
DocType: Tickets RegionTeam,Team,
DocType: Tickets Region,Team Assigned,
DocType: Tickets Region,Team Settings,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +83,This tickets is assigned to {1},
DocType: Tickets Report,Ticket,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +119,Ticket Closed,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +130,Ticket Fix Rejected,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +108,Ticket Fixed,
DocType: Tickets Task,Ticket List,
DocType: Tickets Ticket,Ticket Name,
apps/tickets/tickets/tickets/doctype/tickets_ticket_bundle/tickets_ticket_bundle.py +17,Ticket {0} is already assigned to user {1},
apps/tickets/tickets/tickets/doctype/tickets_ticket_bundle/tickets_ticket_bundle.py +41,Ticket {0} is already assigned to {1}!,
apps/tickets/tickets/tickets/doctype/tickets_ticket_bundle/tickets_ticket_bundle.py +51,Ticket {0} is not fixed!,
apps/tickets/tickets/tickets/doctype/tickets_ticket_bundle/tickets_ticket_bundle.py +19,Ticket {0} planned date is late than bundle's {1},
apps/tickets/tickets/tickets/doctype/tickets_ticket_bundle/tickets_ticket_bundle.py +21,Ticket {0} type is different with bundle's {1},
DocType: Tickets Region,Tickets,
DocType: Tickets Region,Tickets Admin,
DocType: Tickets Region,Tickets Manager,
DocType: Tickets Region,Tickets Region,
DocType: Tickets RegionTeam,Tickets RegionTeam,
DocType: Tickets Report,Tickets Report,
DocType: Tickets Task,Tickets Task,
DocType: Tickets TaskTicket,Tickets TaskTicket,
apps/tickets/tickets/hooks.py +60,Tickets Tasks,
DocType: Tickets Ticket,Tickets Ticket,
DocType: Tickets Ticket Bundle,Tickets Ticket Bundle,
DocType: Tickets Ticket BundleTicket,Tickets Ticket BundleTicket,
apps/tickets/tickets/hooks.py +67,Tickets Ticket Map,
DocType: Tickets TicketItem,Tickets TicketItem,
DocType: Tickets TicketReport,Tickets TicketReport,
DocType: Tickets Ticket Bundle,Tickets Type,
DocType: Tickets Report,Tickets User,
DocType: Tickets Task,Total Cost,
apps/tickets/tickets/tickets/doctype/tickets_ticket_bundle/tickets_ticket_bundle.py +85,Total Cost: {0},
DocType: Tickets RegionTeam,Type,
DocType: Tickets Type,Type Name,
DocType: Tickets TicketItem,UOM,
apps/tickets/tickets/tickets/doctype/tickets_task/tickets_task.js +34,Update Cost,
DocType: Tickets Ticket,Wechat Notify,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +93,You Got This Ticket,
apps/tickets/tickets/tickets/doctype/tickets_ticket/tickets_ticket.py +86,You have no permission to get this tickets,
